College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Internship_Experience_Yes,Placement_Yes
31,112.0,5.75,6.07,5,8,5,2,1,0
48,100.0,7.25,7.64,8,5,8,1,1,0
37,121.0,6.39,6.15,10,4,10,1,1,0
55,96.0,9.72,10.07,7,9,5,2,0,0
79,140.0,9.42,9.11,2,4,3,5,0,1
64,109.0,5.42,5.33,6,4,3,3,1,0
25,87.0,7.58,7.64,10,3,2,2,0,0
56,83.0,6.13,6.34,1,1,7,2,0,0
13,107.0,7.05,6.58,10,6,2,4,0,0
55,96.0,9.38,9.17,10,6,6,4,1,0
69,110.0,7.64,7.75,3,7,8,0,1,0
40,107.0,6.67,6.53,6,7,8,0,0,0
50,98.0,6.04,6.32,9,10,2,2,1,0
83,87.0,9.0,9.15,1,7,6,4,0,0
66,77.0,8.12,7.85,6,8,3,3,1,0
11,93.0,7.34,6.99,2,5,9,0,1,0
96,112.0,6.09,6.22,9,3,3,3,1,0
48,103.0,6.67,6.62,2,1,1,3,1,0
0,81.0,9.8,9.47,3,4,9,0,0,0
18,102.0,7.6,7.43,2,5,8,5,1,0
65,105.0,7.0,6.8,4,6,2,2,1,0
57,86.0,7.61,7.22,4,5,10,4,0,0
86,102.0,8.89,8.94,10,3,10,0,1,0
71,100.0,6.7,6.96,1,3,3,1,1,0
97,82.0,5.89,5.97,8,6,7,1,1,0
3,105.0,7.92,8.25,5,0,6,3,1,0
7,108.0,8.33,7.96,8,2,8,1,0,0
26,116.0,8.56,8.5,6,9,10,3,1,1
25,115.0,9.41,9.52,2,1,5,5,0,1
96,79.0,6.86,7.04,7,1,5,5,0,0
42,85.0,5.38,5.58,10,6,2,5,0,0
39,107.0,9.79,10.02,9,4,6,5,0,0
49,107.0,7.18,7.33,7,2,5,5,1,0
66,107.0,8.12,7.71,5,8,9,4,0,0
72,141.5,8.33,8.53,4,8,3,0,0,0
73,108.0,7.73,7.95,8,2,5,0,0,0
28,117.0,6.03,6.52,6,1,3,4,0,0
84,114.0,8.78,8.97,5,2,9,3,1,1
41,109.0,9.02,9.21,7,8,9,5,1,1
17,95.0,7.76,7.77,3,7,10,2,1,0
80,111.0,7.44,7.81,9,2,7,1,0,0
20,88.0,5.57,6.07,4,3,1,5,0,0
66,96.0,5.42,5.7,4,4,9,4,0,0
61,92.0,6.7,6.81,8,3,9,1,0,0
26,101.0,6.55,6.13,6,10,10,2,1,0
95,134.0,9.77,10.0,1,1,5,3,1,1
92,71.0,8.92,9.13,2,10,2,5,0,0
46,110.0,8.3,8.58,9,8,1,1,0,0
92,75.0,7.59,7.21,6,1,2,3,0,0
25,92.0,5.84,5.99,7,4,4,5,1,0
8,116.0,9.89,9.69,9,10,4,2,0,1
90,100.0,6.88,7.14,3,8,1,3,1,0
11,83.0,5.53,5.27,5,7,8,2,1,0
15,89.0,7.47,7.65,5,0,10,0,1,0
46,110.0,9.37,9.16,10,2,8,1,0,0
55,89.0,9.44,8.95,7,9,8,1,1,0
65,103.0,5.05,5.18,2,8,5,2,1,0
50,100.0,9.43,9.04,4,2,10,2,0,1
26,90.0,6.36,6.52,4,10,2,4,0,0
72,132.0,5.19,5.62,8,3,4,2,1,0
65,109.0,9.24,9.71,10,2,1,2,1,0
61,69.0,9.32,9.06,3,6,10,3,0,1
70,102.0,7.98,8.29,2,8,1,3,0,0
7,90.0,7.87,7.72,9,3,10,1,0,0
37,112.0,9.07,9.47,4,8,3,3,0,1
5,88.0,8.93,9.22,9,1,4,3,1,0
58,98.0,9.45,9.02,6,1,3,1,0,0
18,107.0,7.76,7.67,1,8,3,5,0,0
78,112.0,9.84,9.68,3,6,8,0,0,1
55,81.0,9.98,10.27,7,4,4,4,0,0
27,94.0,5.58,5.49,9,4,3,3,1,0
93,92.0,9.25,9.43,8,8,9,0,1,0
90,90.0,7.5,7.6,5,10,1,4,1,0
9,126.0,6.94,7.42,8,3,8,1,1,0
44,106.0,8.07,8.51,2,10,5,3,0,0
94,81.0,5.28,5.21,3,0,8,5,0,0
64,113.0,7.53,7.75,8,5,10,3,0,1
49,131.0,9.35,9.68,9,2,3,2,1,1
31,115.0,6.07,6.47,10,1,6,3,0,0
60,77.0,7.13,6.7,8,3,7,3,1,0
15,92.0,9.7,9.5,4,8,8,0,1,0
5,119.0,7.14,6.96,6,7,7,0,0,0
65,89.0,6.79,6.72,5,6,7,3,1,0
61,106.0,7.2,6.87,4,1,2,5,0,0
65,111.0,7.6,7.6,9,0,3,4,1,0
66,86.0,8.16,8.32,10,6,6,1,0,0
18,99.0,9.0,9.0,3,9,3,5,0,0
3,57.5,7.26,7.43,1,4,9,0,0,0
42,84.0,9.09,8.66,7,10,9,5,0,1
17,96.0,7.67,8.05,10,7,6,5,1,0
81,81.0,6.69,7.13,8,4,1,4,1,0
45,124.0,8.29,8.41,3,9,1,5,0,1
45,78.0,8.59,8.97,3,4,4,3,0,0
84,93.0,7.79,7.42,6,7,10,2,0,0
20,101.0,5.28,5.58,2,8,8,0,0,0
29,121.0,5.85,5.47,6,1,3,5,0,0
63,78.0,6.43,6.34,5,7,4,0,0,0
40,117.0,6.41,6.23,7,6,6,2,0,0
16,100.0,8.37,8.46,9,7,9,3,0,1
4,85.0,5.09,4.89,9,2,4,0,0,0
4,106.0,8.78,8.92,1,3,3,3,0,0
72,102.0,6.33,6.2,7,6,10,4,0,0
74,90.0,6.55,6.91,3,4,10,0,0,0
47,101.0,7.64,7.77,4,6,9,3,1,0
77,94.0,6.08,5.8,2,5,7,4,1,0
37,101.0,9.42,9.26,1,3,9,5,0,1
5,109.0,5.43,5.78,10,1,10,0,1,0
57,123.0,7.22,7.11,3,5,6,1,1,0
13,81.0,9.25,9.29,10,5,4,3,0,0
71,131.0,8.08,8.23,9,5,5,4,0,1
93,70.0,6.46,6.31,1,0,10,5,1,0
58,97.0,7.1,6.89,3,5,2,1,0,0
64,108.0,8.53,8.51,5,1,3,3,1,0
88,104.0,9.87,9.58,3,9,5,0,0,0
12,90.0,9.47,9.25,4,4,3,5,0,0
26,96.0,6.71,6.27,4,6,3,3,0,0
24,92.0,9.99,9.79,1,9,9,4,1,1
55,91.0,5.02,4.84,6,0,4,0,1,0
67,112.0,5.14,5.6,7,4,4,0,1,0
58,105.0,9.12,9.21,7,8,1,5,1,0
94,89.0,6.0,6.29,6,2,7,0,0,0
48,113.0,5.3,4.85,7,1,10,2,0,1
17,104.0,6.19,5.8,3,9,9,4,1,0
80,112.0,7.13,7.44,5,1,8,1,1,0
74,109.0,8.65,8.77,7,2,2,0,1,0
75,87.0,8.12,7.81,10,0,6,4,0,0
2,91.0,6.19,6.09,5,1,10,2,1,0
78,111.0,7.52,7.56,10,5,10,2,1,1
56,109.0,9.63,9.97,2,7,5,5,1,0
5,99.0,9.08,8.64,6,3,8,0,0,0
68,101.0,6.62,6.72,7,1,1,4,1,0
30,119.0,9.91,10.13,2,4,9,2,0,1
7,91.0,8.54,9.02,10,2,9,0,0,0
9,108.0,5.31,5.62,8,4,7,5,1,0
2,96.0,5.18,4.96,5,2,8,3,1,0
11,96.0,5.84,6.05,8,10,9,3,0,0
91,116.0,8.64,8.9,3,3,5,3,0,1
75,112.0,5.92,6.15,2,4,2,1,1,0
93,112.0,7.56,7.88,7,6,1,4,1,0
18,119.0,5.47,5.87,5,1,5,5,1,0
20,100.0,9.6,9.2,5,5,8,3,0,1
80,110.0,6.72,6.32,8,5,10,2,0,0
13,95.0,9.54,9.84,9,5,4,1,0,0
74,104.0,9.72,9.47,8,6,4,3,1,0
28,98.0,5.03,4.59,10,10,4,0,0,0
6,101.0,7.32,7.22,2,2,8,2,0,0
48,108.0,5.12,5.44,10,4,7,1,1,0
64,87.0,9.54,9.17,7,8,1,1,0,0
6,131.0,7.59,7.76,5,8,10,2,0,1
13,84.0,5.37,4.87,7,6,6,3,1,0
15,81.0,5.55,5.16,3,8,4,5,1,0
98,117.0,6.92,6.77,4,2,2,5,1,0
15,111.0,9.7,9.28,7,6,3,0,0,0
84,109.0,8.46,8.81,2,0,4,0,0,0
12,109.0,9.34,9.7,2,6,10,5,0,1
81,99.0,6.83,7.09,1,2,7,5,1,0
28,86.0,5.22,4.96,1,2,1,0,0,0
84,101.0,9.87,9.89,1,6,1,1,1,0
72,89.0,5.09,4.77,6,7,3,3,1,0
94,114.0,9.74,9.52,5,3,2,5,1,1
60,97.0,6.84,6.86,10,0,3,5,1,0
36,87.0,5.05,5.29,8,4,3,2,0,0
16,95.0,8.45,8.04,5,9,1,4,1,0
30,106.0,9.9,9.7,1,3,6,0,1,0
58,91.0,9.83,10.26,8,8,8,2,0,1
87,87.0,5.8,5.73,6,2,5,5,0,0
46,103.0,5.91,6.35,8,3,1,5,1,0
5,103.0,7.83,8.32,2,9,10,2,1,1
31,92.0,8.19,8.22,10,2,7,5,1,0
30,92.0,8.7,8.49,8,2,10,0,0,0
17,103.0,5.91,6.2,6,6,9,4,0,0
8,78.0,9.8,9.46,1,4,7,1,0,0
2,78.0,8.19,7.94,1,4,9,1,1,0
70,89.0,9.24,9.52,10,3,10,3,0,1
25,96.0,7.7,7.63,5,9,9,5,0,0
12,104.0,7.07,6.77,7,7,2,1,1,0
33,122.0,9.89,10.04,4,0,8,2,0,1
42,112.0,7.91,8.14,10,10,7,1,0,0
92,97.0,9.33,8.96,5,8,7,3,0,0
32,99.0,9.77,9.55,10,10,2,2,0,0
68,84.0,8.38,8.1,3,8,1,2,0,0
35,99.0,7.74,7.62,2,10,4,4,0,0
78,95.0,5.02,5.28,2,4,7,5,0,0
73,104.0,5.2,5.41,5,0,6,0,0,0
67,87.0,6.0,6.16,4,1,10,0,1,0
46,107.0,5.93,5.44,2,1,2,0,0,0
60,122.0,6.27,5.91,5,5,7,3,1,0
44,98.0,6.52,6.24,10,9,10,1,1,0
95,106.0,6.8,6.57,9,8,9,0,0,0
87,110.0,7.1,6.75,8,2,2,1,0,0
83,93.0,5.49,5.4,9,7,10,0,0,0
47,103.0,5.21,4.79,9,1,5,4,0,0
40,100.0,8.37,8.62,8,4,2,1,0,0
37,101.0,7.69,7.98,9,3,1,3,0,0
67,88.0,7.22,7.29,4,4,7,5,0,0
74,100.0,8.17,7.76,8,3,2,5,1,0
10,107.0,9.14,9.53,2,0,6,3,0,0
15,121.0,7.14,7.61,9,0,7,1,0,0
64,114.0,8.21,7.91,9,5,1,5,0,0
96,132.0,9.77,9.97,3,7,9,3,0,1
70,88.0,9.2,9.54,6,6,6,2,0,0
66,113.0,7.13,7.17,7,3,2,3,1,0
70,102.0,8.22,8.04,3,4,1,4,1,0
0,132.0,5.89,5.87,5,7,1,4,0,0
96,87.0,7.8,7.81,1,5,2,1,0,0
70,87.0,9.91,9.81,3,7,9,3,1,1
3,91.0,7.59,8.02,8,5,2,1,0,0
81,68.0,9.64,9.88,3,7,1,0,0,0
36,92.0,7.04,6.78,8,3,4,2,1,0
13,88.0,9.99,10.08,9,9,9,1,0,0
78,102.0,7.9,8.09,6,1,8,1,1,0
24,105.0,5.21,4.85,7,2,7,1,0,0
81,128.0,7.93,7.79,6,4,8,5,0,1
3,114.0,6.37,6.78,8,3,2,1,0,0
65,91.0,5.16,5.23,7,4,5,5,0,0
42,86.0,9.1,8.82,10,0,7,4,0,0
25,107.0,6.38,6.0,1,0,1,2,0,0
83,80.0,8.98,9.0,3,1,6,0,1,0
14,127.0,6.44,6.49,3,10,7,2,0,0
5,117.0,5.97,5.8,3,1,8,1,0,0
36,92.0,9.87,10.0,4,7,5,4,1,0
42,74.0,6.81,6.38,1,9,8,0,0,0
41,120.0,8.01,7.66,2,3,10,5,1,1
12,98.0,8.05,8.1,5,5,1,1,0,0
15,118.0,7.8,7.36,6,1,4,5,1,0
41,76.0,9.57,9.95,9,0,6,1,1,0
37,91.0,8.37,8.01,2,6,4,3,0,0
65,100.0,7.02,7.19,9,3,5,2,0,0
64,100.0,9.31,9.2,7,3,2,2,0,0
4,93.0,5.91,5.81,9,1,7,2,0,0
29,109.0,7.72,7.98,4,8,9,3,1,0
94,83.0,9.75,9.75,7,1,7,4,1,0
42,97.0,8.13,8.36,1,4,1,4,1,0
31,101.0,9.08,9.09,8,5,2,4,0,0
66,107.0,8.27,8.36,7,2,8,5,1,1
66,110.0,9.2,9.46,7,10,1,0,0,0
41,83.0,9.72,9.83,2,2,2,3,1,0
4,76.0,6.36,6.48,10,5,5,3,1,0
98,119.0,5.85,6.14,9,4,6,4,1,0
85,104.0,7.42,7.87,8,4,1,4,0,0
95,88.0,8.51,8.39,1,4,1,4,1,0
58,123.0,6.14,6.22,1,8,2,3,1,0
22,101.0,5.02,4.61,5,7,3,4,0,0
7,117.0,6.71,6.57,2,3,9,2,1,1
67,101.0,9.84,9.75,1,5,3,4,0,0
69,130.0,8.47,8.81,10,4,8,2,0,1
90,126.0,7.01,7.02,8,10,6,1,1,0
18,96.0,5.96,6.19,4,5,10,1,0,0
43,114.0,6.78,6.3,2,10,5,3,0,0
92,109.0,5.85,5.81,5,7,9,0,0,0
37,120.0,5.53,5.93,6,5,8,5,1,1
43,85.0,9.53,9.25,8,5,3,1,1,0
5,110.0,9.99,9.52,7,1,7,3,0,0
2,115.0,5.82,5.75,7,6,4,3,1,0
95,73.0,5.27,5.47,1,2,8,2,0,0
79,82.0,6.65,6.6,3,6,7,2,0,0
32,69.0,7.31,7.27,3,4,3,4,1,0
65,95.0,6.02,6.19,7,3,7,5,0,0
57,110.0,6.51,6.26,2,9,6,1,1,0
25,122.0,6.0,6.25,10,0,6,2,1,0
98,101.0,8.87,8.52,7,7,10,0,0,0
27,124.0,8.56,8.46,9,1,3,5,1,1
42,79.0,8.17,8.33,1,9,4,3,0,0
74,74.0,6.94,7.27,2,7,4,5,0,0
87,99.0,9.55,9.84,6,6,6,4,0,0
15,105.0,9.85,10.07,2,2,9,2,0,1
88,99.0,5.87,5.73,2,10,5,2,1,0
22,68.0,6.12,5.74,5,6,8,2,0,0
58,98.0,7.63,7.35,7,0,5,5,0,0
34,80.0,5.46,5.82,4,4,6,1,1,0
88,110.0,7.18,7.54,6,1,6,5,1,0
40,105.0,7.91,8.36,3,1,4,2,0,0
96,85.0,7.61,7.19,4,2,10,5,1,0
21,92.0,6.65,6.69,4,6,10,3,0,0
73,84.0,7.71,7.86,4,1,5,2,0,0
0,99.0,9.79,10.0,1,3,4,5,1,0
45,114.0,6.03,6.17,4,3,2,0,0,0
21,85.0,8.27,8.54,4,0,2,2,1,0
31,107.0,5.22,5.08,6,6,8,4,1,0
86,92.0,5.33,5.01,9,3,4,4,0,0
29,88.0,7.76,7.46,10,0,9,0,1,0
86,98.0,5.52,5.03,6,2,6,4,0,0
42,84.0,5.11,4.96,6,7,5,1,0,0
11,91.0,5.86,5.45,7,3,7,3,0,0
82,82.0,7.82,7.64,7,0,6,3,1,0
70,129.0,8.52,8.65,1,6,4,1,0,0
26,100.0,6.01,6.4,8,7,10,4,0,0
25,89.0,8.34,8.68,1,4,9,0,0,0
17,103.0,5.91,5.66,9,8,6,0,1,0
91,98.0,8.07,7.7,4,6,3,3,0,0
74,96.0,7.06,6.75,9,3,4,5,0,0
65,109.0,8.27,8.74,8,8,4,0,0,0
80,111.0,9.98,10.03,9,5,8,1,1,1
60,92.0,9.69,9.37,6,10,5,3,1,0
45,91.0,5.02,5.36,9,7,8,2,1,0
28,95.0,9.43,9.33,4,1,8,1,1,0
31,65.0,5.33,5.73,3,4,6,1,1,0
14,77.0,9.77,9.53,3,2,5,0,0,0
59,120.0,6.41,6.3,8,4,2,5,0,0
81,124.0,6.91,6.91,2,7,1,0,1,0
27,96.0,5.46,5.85,6,5,7,0,0,0
26,108.0,5.56,5.93,9,0,10,2,1,0
40,104.0,8.63,8.7,9,6,10,1,0,0
46,141.5,9.72,9.44,8,9,7,4,1,1
32,116.0,8.05,7.95,8,0,2,3,1,0
43,98.0,8.58,9.06,1,0,3,0,1,0
49,85.0,8.81,8.92,7,3,8,0,0,0
9,75.0,6.31,6.59,1,8,4,1,0,0
23,103.0,5.23,5.18,9,7,5,2,0,0
33,88.0,5.01,5.04,3,9,7,0,0,0
90,78.0,6.75,6.68,1,2,8,2,0,0
19,90.0,6.21,6.41,8,5,1,2,0,0
24,83.0,5.31,5.66,7,0,7,4,0,0
54,125.0,5.9,5.91,2,9,3,2,1,0
89,113.0,5.62,5.6,7,0,5,4,1,0
42,99.0,9.57,9.41,5,5,1,3,0,0
52,122.0,5.7,5.38,7,4,3,2,0,0
84,101.0,7.69,8.13,10,5,5,3,1,0
49,87.0,7.97,7.79,7,8,1,2,0,0
54,122.0,7.72,8.02,2,4,2,4,1,1
12,108.0,5.5,5.72,2,1,3,4,0,0
48,84.0,6.59,6.88,7,0,8,3,1,0
96,97.0,5.26,5.7,3,10,5,1,1,0
9,86.0,6.98,7.1,4,1,5,1,0,0
91,79.0,5.94,6.34,7,7,3,1,0,0
96,113.0,7.81,7.48,2,0,9,2,0,1
10,128.0,8.46,8.59,2,5,9,1,0,1
77,79.0,7.66,7.93,9,4,2,3,0,0
83,108.0,7.17,6.94,1,9,8,1,0,0
99,90.0,6.94,7.18,3,10,1,3,1,0
19,92.0,9.21,9.49,10,8,5,3,1,0
71,91.0,6.1,6.43,4,3,7,5,0,0
78,87.0,8.67,8.48,5,4,8,2,0,1
96,100.0,8.79,8.97,3,4,8,5,0,1
82,87.0,7.1,6.9,9,10,6,4,1,0
47,104.0,6.49,6.73,5,1,7,2,0,0
75,99.0,7.35,7.31,7,10,4,2,0,0
16,96.0,5.47,5.57,7,1,10,0,1,0
32,86.0,5.23,5.15,9,8,7,1,0,0
19,91.0,5.56,5.22,2,2,7,1,0,0
45,111.0,5.94,5.62,3,5,9,3,0,1
30,107.0,7.52,7.1,4,3,2,4,1,0
50,85.0,9.25,9.37,8,3,8,5,0,1
82,101.0,6.18,6.53,1,4,9,1,1,0
18,111.0,9.68,9.2,9,4,3,1,0,0
61,74.0,9.77,9.34,5,6,8,4,1,1
43,108.0,9.79,9.75,4,6,1,1,0,0
76,90.0,9.19,9.43,8,0,10,0,0,0
37,108.0,6.82,6.48,9,5,5,1,0,0
48,88.0,5.36,5.13,3,3,1,0,0,0
64,72.0,7.84,7.57,4,1,1,2,1,0
10,75.0,7.79,7.69,1,5,6,2,1,0
26,100.0,9.25,8.97,3,6,5,0,0,0
57,103.0,9.98,9.83,10,1,5,5,0,0
63,86.0,7.54,7.77,5,1,2,5,0,0
64,109.0,6.73,6.84,8,9,10,3,0,0
14,75.0,5.93,5.51,1,10,9,0,1,0
